Name	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0087987	14083.818	6466.753	7403.657	11639.653	4159.184	5695.717
FBtr0074688	950	587	674	1135	489	591
FBtr0086864	1006	341	399	940	292	309
FBtr0083361	2	0	0	5	0	0
FBtr0392904	2701.041	315.929	321.323	1155.901	167.585	155.897
FBtr0084588	3116.073	1334.166	1929.469	4597.441	1007.073	780.062
FBtr0303161	1181.563	328.77	261.454	1171.978	658.533	813.36
FBtr0079257	564	204	249	666	223	263
FBtr0307341	0.919	0.33	0.002	0.915	0.227	0.321
FBtr0084989	0.21	1.186	0.001	0.754	0.088	0.177
FBtr0306309	6.464	0.143	3.927	6.042	3	3.92
FBtr0344570	13.536	6.857	0.073	12.958	0	0.08
FBtr0078090	788.434	264	311	951.477	260	270
FBtr0087439	292	63	82	246	52	69
FBtr0070960	4.725	1.029	2.173	1.486	2.582	1.807
FBtr0302357	3.698	0.994	1.96	1.394	2.277	3.788
FBtr0302356	3.313	0.976	1.871	3.121	2.142	3.409
FBtr0340571	1	0.5	0.5	3.997	1	1
FBtr0340572	1	0.5	0.5	4.003	1	1
FBtr0080267	0	0	0	0	0	0
FBtr0077141	0	0	0	0	0	0.521
FBtr0306593	0	0	0	0	0	0.479
FBtr0081719	2752	1086	1244	2665	793	939
FBtr0071549	826	380	453	1020	318	417
FBtr0308832	244.993	55.795	88.428	223.514	55.832	91.84
FBtr0308833	1041.602	384.074	491.55	1345.029	388.903	403.578
FBtr0074921	736.405	142.131	50.022	840.457	114.265	68.582
FBtr0073011	5	1	1	5	2	0
FBtr0112378	2	0	0	0	0	0
FBtr0342602	6.095	2.565	2.524	6.095	2.542	2.578
FBtr0080326	1856.536	742.563	849.476	1694.086	593.458	720.741
FBtr0085405	1951	700	797	1895	632	775
FBtr0339295	0	0	0	0	0	0
FBtr0300316	0	0	0	0	0	0
FBtr0300904	0.396	0.5	0	0.681	0	0
FBtr0081633	1.656	0.5	0	0.677	0	0
FBtr0300905	0.015	0	0	0.685	0	0
FBtr0335279	8.782	2.469	0.702	10.288	4.733	0.724
FBtr0335281	19.767	2.805	0.712	30.106	1.431	0.736
FBtr0290216	0.036	0.059	0	0.055	0.051	0
FBtr0335280	0.036	0.06	0	0.056	0.052	0
FBtr0077120	417.348	220.83	237.797	428.24	207.187	212.17
FBtr0081676	0	0	0	0	0	0
FBtr0076639	9.599	4	2.587	5.728	2	2.703
FBtr0079280	1	0	2	0	0	0
FBtr0304827	4.542	3.463	3.435	6.815	2.86	3.874
FBtr0433494	12.298	8.615	6.611	14.883	4.349	5.479
FBtr0333832	10.085	5.234	6.423	14.739	3.657	4.949
FBtr0433497	5.405	6.548	3.487	7.044	3.477	4.321
FBtr0333833	5.258	3.097	3.332	7.673	3.799	3.742
FBtr0433496	4.149	3.446	3.327	6.739	2.6	3.083
FBtr0304826	15.88	5.124	4.811	21.574	3.763	5.653
FBtr0433495	16.314	4.875	4.847	21.326	3.785	5.704
FBtr0433493	17.7	4.893	4.957	21.703	4.048	6.665
FBtr0300808	0	0	0	0.3	0	0
FBtr0300809	0.502	0	0	0.701	1.88	0.5
FBtr0301700	0.502	0	0	0.701	1.879	0.5
FBtr0072287	3116.871	1152	1247	3058	974	1089
FBtr0343633	209.628	106.473	135.506	499.23	484.176	197.215
FBtr0074281	3322.093	1253.013	1206.913	4217.264	802.86	1144.177
FBtr0343632	153.801	43.979	51.623	94.832	42.918	28.017
FBtr0074279	4537.919	1043.101	1306.411	4719.295	1098.701	1286.19
FBtr0074280	390.508	91.769	78.546	477.577	98.343	80.395
FBtr0072238	0	0	0	0	0	0
FBtr0308073	28.334	11.948	9.582	33.093	10.036	7.955
FBtr0082360	1128.265	397.066	426.061	941.917	322.948	391.25
FBtr0082361	42.401	0.986	1.357	6.99	6.016	13.795
FBtr0079938	92	30	46	62	23	30
FBtr0077227	3153.175	1438.387	1724.006	3240.686	1227.104	1481.962
FBtr0091702	265.825	61.613	77.804	161.314	54.896	50.038
FBtr0074882	429.889	260.677	379	502.03	239.459	248.793
FBtr0332153	441.958	66.401	69.406	430.468	69.127	57.72
FBtr0310476	87.953	99.373	56.1	209.317	91.178	91.175
FBtr0100666	427.276	132.97	177.767	433.824	123.401	150.448
FBtr0332726	86.925	62.737	43.727	188.223	57.835	61.863
FBtr0080287	287.899	103.061	197.953	430.502	101.446	121.095
FBtr0309307	3.566	1.544	2.581	6.012	4.549	2.582
FBtr0300898	1.45	0.456	0.419	2.078	2.451	0.419
FBtr0080024	223.759	57.322	72	228.487	42.197	50.18
FBtr0077389	3650.638	1510	1868	4187	1383	1476
FBtr0290204	0	0	0	0	0	0
FBtr0086689	395.56	177.568	121.049	364.263	101.568	180.858
FBtr0306636	762.05	130.56	167.741	404.545	71.814	90.253
FBtr0086687	1055.528	148.693	202.052	693.346	297.218	231.124
FBtr0086690	39.255	10.941	12.922	27.196	9.392	10.364
FBtr0086686	123.435	9.338	12.798	20.456	10.365	10.295
FBtr0340359	39.578	15.387	46.095	61.334	15.8	18.876
FBtr0301148	850.017	484.035	591.908	1756.507	378.52	494.47
FBtr0086684	15.407	2.1	3.17	2.846	2.268	1.549
FBtr0306637	46.983	21.181	22.258	55.567	14.943	17.668
FBtr0301149	61.186	7.196	24.007	78.94	13.111	16.542
FBtr0086600	132.506	23.082	6.88	138.195	35.136	51.097
FBtr0331978	489.117	153.918	199.12	385.805	114.864	119.903
FBtr0078769	27953	14644	16187	43192	13538	16591
FBtr0070712	29	12	10	36	10	12
FBtr0343263	3.037	0	0	1.026	0.263	0.675
FBtr0343264	0.738	0	0	1.753	0.244	0.788
FBtr0072024	0.746	0	0	1.855	0.243	0.797
FBtr0113111	0.695	0	0	1.367	0.25	0.74
FBtr0333452	10.907	9.699	5.291	14.042	7.08	3.79
FBtr0333450	8.792	4.498	3.952	12.143	3.682	2.42
FBtr0333451	13.008	4.433	3.903	11.641	3.64	2.403
FBtr0300831	14.293	4.37	3.854	11.174	3.598	2.387
FBtr0076303	32.983	14.744	11.452	14.211	23.662	11.188
FBtr0076302	29.571	14.474	10.934	31.398	16.231	23.519
FBtr0076301	2326.446	990.782	1321.613	1629.391	638.106	736.294
FBtr0077098	1656.652	688.17	774.203	1640.75	557.813	644.83
FBtr0070552	1.153	2	1	5.017	0	0
FBtr0075818	693	267	337	644	215	283
FBtr0088789	340	71	85	184	57	79
FBtr0304960	0	0	0	0	0	0
FBtr0075249	3	1	0	2	0	0
FBtr0084104	9396.891	2984.927	3398	8108	2415	2820
FBtr0336911	388.701	120.246	126.072	391.445	112.338	209.961
FBtr0088974	401.929	174.952	232.868	740.712	238.499	185.423
FBtr0100360	63.323	19.766	32.906	59.893	15.996	20.968
FBtr0110880	9.435	2.129	2.319	3.58	1.495	3.46
FBtr0334105	8.965	2.254	1.594	2.347	2.337	4.897
FBtr0301185	10.232	2.115	2.143	3.534	1.489	3.418
FBtr0110881	201.045	49.736	68.037	208.646	79.683	63.257
FBtr0336928	1.427	0.901	1.755	0.892	0	3.173
FBtr0072107	2.573	1.099	0.245	1.108	0	0.827
FBtr0085786	1384.051	375.438	456.783	601.567	255.666	238.295
FBtr0085785	23.606	22.26	22.254	40.302	22.978	22.88
FBtr0334549	72.479	51.999	42.786	153.068	28.734	23.484
FBtr0334550	16.993	15.303	14.178	32.373	12.622	11.412
FBtr0340191	709.636	220.848	232.011	413.592	278.868	335.739
FBtr0073848	4328.97	2026.152	2078.989	4978.408	1680.132	1831.117
FBtr0078387	833.254	232.836	250.62	684.229	209.479	194.549
FBtr0087487	602.759	225	241	555	208	240
FBtr0083735	6.745	2.805	2.844	7.069	0.702	0.986
FBtr0332539	10.277	3.202	3.258	11.072	0.711	1.014
FBtr0077790	0	0	0	0	0	0
FBtr0331440	0	0	0	0	0	0
FBtr0331439	0	0	0	0	0	0
FBtr0082634	536	245	271	539	201	199
FBtr0079612	258.388	68.545	70	191.178	54	58.174
FBtr0087980	3.466	0.498	0	2.039	0.274	0.001
FBtr0087979	0.536	0.502	0	0.561	0.267	0
FBtr0072044	0	0	0	0	0	0
FBtr0343206	0	0	0	0	0	0
FBtr0072043	0	0	0	0	0	0
FBtr0075225	0	0	0	3	1	0
FBtr0112489	79.209	21.714	29.544	75.799	16.88	26.152
FBtr0339263	25.333	0.378	3.456	7.05	0.12	4.021
FBtr0301018	106	14	26	77	25	21
FBtr0302526	60.885	14	13.398	67.231	13	16
FBtr0100009	389.053	155	179	440.105	103	139
FBtr0089901	24.13	9.292	13.464	11.765	17.009	19.716
FBtr0089902	17.32	4.575	3.714	3.527	5.557	7.211
FBtr0300562	429.622	93.881	79.819	244.093	93.907	59.071
FBtr0089900	20.583	8.243	6.518	5.007	5.253	6.843
FBtr0089904	131.362	11.768	12.391	17.58	8.927	9.886
FBtr0301521	222.609	19.471	24.293	28.447	14.057	15.614
FBtr0089905	114.375	12.772	29.801	226.581	37.289	29.659
FBtr0345390	137.076	30.296	20.86	39.881	30.492	30.253
FBtr0331425	163.489	100.433	112.422	71.167	43.376	30.885
FBtr0332155	582.693	108.859	166.526	362.376	53.11	51.375
FBtr0075014	43.742	44.412	46.433	30.576	40.022	25.488
FBtr0078874	0	0	0	0	0	1
FBtr0083452	811.069	216.18	315.57	657.022	284.571	247.434
FBtr0302317	745.142	370.82	321.43	897.978	302.429	368.566
FBtr0333248	1.951	0.992	0	3.773	0.992	1.952
FBtr0114524	2.049	1.008	0	4.227	1.008	2.048
FBtr0273385	167.086	40.539	43.026	316.044	77.515	89.23
FBtr0339307	92.13	44.345	61.763	266.398	69.889	65.848
FBtr0273384	181.049	129.116	143.211	430.822	190.596	146.922
FBtr0082117	128.942	101.226	81.244	264.888	149.754	122.234
FBtr0082116	420.959	74.356	55.347	410.185	100.663	104.771
FBtr0082118	232.603	89.418	98.426	457.938	133.679	105.931
FBtr0085011	1	4	1	1	0	1
FBtr0081174	25.02	14.124	13.71	20.169	8.176	8.966
FBtr0081175	29.735	17.053	14.508	28.767	9.098	10.183
FBtr0303241	71.212	25.84	28.927	70.875	18.166	21.578
FBtr0081176	43.535	18.295	18.27	26.866	9.371	10.527
FBtr0305129	1291.254	202.495	202.658	811.458	160.318	153.16
FBtr0339156	260.373	65.121	52.067	106.53	61.033	46.263
FBtr0339157	78.975	36.683	27.276	64.237	38.882	47.578
FBtr0071784	12.027	15.237	17.186	13.346	17.225	22.331
FBtr0071785	1597.076	764.806	841.814	2361.654	816.775	932.669
FBtr0089148	548.27	29.096	45.931	100.401	46.539	29.678
FBtr0089147	314.339	42.51	37.439	63.286	38.429	70.08
FBtr0089150	545.086	66.323	80.015	202.592	70.254	66.158
FBtr0089146	253.871	83.147	128.123	49.627	87.953	77.286
FBtr0308247	1505.316	326.686	309.721	1761.958	529.019	413.284
FBtr0089149	209.119	63.239	26.771	144.136	59.805	26.513
FBtr0302559	1.511	0	0.5	2.023	0	0
FBtr0346506	1.489	0	0.5	1.977	0	0
FBtr0302190	226.195	106.215	92.173	237.001	68.358	79.17
FBtr0086145	325.805	118.785	145.827	330.999	147.642	138.83
FBtr0306281	0	0	0	0	0	0
FBtr0306280	0	0	0	0	0	0
FBtr0306258	587.489	112.767	128.601	435.644	167.907	181.946
FBtr0073119	6574.221	2257.561	1987.137	5980.949	1387.766	1239.062
FBtr0073120	2475.468	2346.743	3060.095	307.985	1259.37	1278.333
FBtr0073118	18383.18	3133.963	2877.452	11334.014	1944.871	1645.159
FBtr0337055	876.374	399.879	436.573	640.341	378.449	328.795
FBtr0333895	559.034	1963.225	2369.02	379.444	1469.606	1745.266
FBtr0337056	301.796	93.861	91.122	1894.623	422.03	300.438
FBtr0077442	178	51	62	140	54	50
FBtr0076018	46.17	25.965	23.233	17.682	20.614	24.12
FBtr0076017	163.83	62.035	83.767	181.318	47.386	47.88
FBtr0339781	14.042	9.622	5.228	19.71	10.177	12.017
FBtr0070778	26.994	13.988	6.243	40.519	15.239	19.812
FBtr0344824	119.469	37.389	8.529	764.082	48.584	188.171
FBtr0345292	5816.922	69.714	91.389	18896.731	1199.425	71.387
FBtr0070983	88.03	123.444	61.26	95.952	101.559	28.271
FBtr0070982	102.689	13.965	13.913	83.625	11.289	13.933
FBtr0070981	828.654	457.052	540.798	794.18	479.14	665.556
FBtr0070980	35805.423	26511.825	30788.641	34159.505	22583.586	32834.854
FBtr0307300	1070.241	271.959	289.134	729.937	238.078	268.46
FBtr0113024	75.85	24.04	25.358	37.198	22.107	25.173
FBtr0332600	27.44	12.561	12.508	15.311	10.816	9.367
FBtr0083414	698.085	355.537	442.745	849.403	334.714	323.995
FBtr0337043	201.006	28.463	22.255	124.597	11.286	36.005
FBtr0077516	2	0	0	1	0	2
FBtr0112524	54.901	22	17.602	88.949	16.004	16.04
FBtr0089233	580.492	93.549	101.559	77.075	112.656	72.684
FBtr0334626	234.849	45.681	38.443	280.902	42.375	57.277
FBtr0310651	1380.236	181.791	189.673	530.063	226.027	234.729
FBtr0089229	992.423	323.979	366.325	2381.961	343.942	315.31
FBtr0082920	1	0	0	1	0	0
FBtr0077386	736.891	258.534	303.356	776.302	226	256
FBtr0071106	3	1	0	4	0	1
FBtr0070937	3490.379	1977.829	2348.723	3717.526	1230.078	1606.697
FBtr0070938	4675.838	1058.171	1165.277	4370	1416.922	1171.303
FBtr0070397	13	9	9	25	10	2
FBtr0074346	1	0	0	1	0	0
FBtr0071471	1.001	0	0.5	0.5	0	0.5
FBtr0330316	0.999	0	0.5	0.5	0	0.5
FBtr0074918	400.372	155.48	192.777	431.581	112	150.34
FBtr0072124	756.1	355	383.134	871.507	294	386
FBtr0071683	1274.157	618	699	1663	495	543
FBtr0077403	2.91	0.173	0.228	3.925	2.059	0.762
FBtr0113021	2.444	0.175	0.203	3.082	1.849	0.746
FBtr0077402	1.566	1.484	2.892	1.766	1.354	0.693
FBtr0077401	5.08	0.168	1.677	10.228	2.738	0.798
FBtr0300280	5	2	2	7	1	0
FBtr0346378	22.676	18.946	18.184	18.018	15.558	13.103
FBtr0074809	1392.556	742.719	815.57	966.23	430.355	463.82
FBtr0335137	31.349	15.649	23.246	23.056	19.087	15.488
FBtr0346141	8.641	3.804	0.002	1.892	3.661	0.003
FBtr0085611	63.359	11.196	18.998	39.108	23.339	10.997
FBtr0074029	5	1	0	2	0	0
FBtr0075388	6.742	1.02	0.826	4.707	0.826	1.102
FBtr0343534	11.456	1.232	2.174	6.482	2.174	0.898
FBtr0086001	6	6	7	5	2	1
FBtr0321315	0	0	0	0	0	0
FBtr0333037	101.259	22.801	22.915	104.607	42.786	27.534
FBtr0075724	225.983	40.74	41.337	276.796	64.587	58.923
FBtr0075723	52.758	20.458	41.748	76.598	16.627	27.543
FBtr0342770	273.2	282.675	364.89	440.367	291.749	278.355
FBtr0070420	4718.158	1958.867	1999.496	5585.782	2123.443	1962.574
FBtr0342771	146.641	80.458	119.614	153.85	115.808	84.071
FBtr0333323	323.703	19.801	20.752	42.045	22.04	15.883
FBtr0333322	153.187	19.253	9.177	26.901	18.94	23.993
FBtr0074137	125.646	64.597	84.934	113.705	76.009	67.604
FBtr0074135	2088.463	795.349	872.137	2893.35	751.012	903.519
FBtr0308136	2.092	0.47	0	0.678	0.626	0.47
FBtr0080237	0	0	0	0	0	0
FBtr0300638	1	0	1.579	0.917	1.579	0
FBtr0073729	557.154	149.971	160.264	415.186	138.014	135.171
FBtr0084836	316	123	117	354	83	114
FBtr0082430	4.549	14.38	4.914	4.827	13.619	5.2
FBtr0335211	541.637	194.62	254.086	495.826	111.381	164.8
FBtr0076857	16	9	7	12	2	9
FBtr0300424	28	7	7	33	6	0
FBtr0083860	199.515	65.888	65.865	120.061	59.084	18.618
FBtr0302327	3842.863	1651.672	2057.707	4573.657	1333.099	1763.91
FBtr0083861	659.664	140.441	96.428	512.281	156.817	173.472
FBtr0083086	458.098	227.417	242.358	458.232	134.591	187.893
FBtr0334589	125.09	37.583	28.636	95.364	53.941	31.22
FBtr0091874	16.701	0.36	7.841	0.254	7.364	4.671
FBtr0073935	2.586	0	0	3.742	0	0
FBtr0073300	0	0	0	0	0	0
FBtr0073299	0	0	0	0	0	0
FBtr0088841	71.441	21.991	16.012	91.146	20.958	20.568
FBtr0088842	1177.192	609.689	714.682	1318.989	479.608	609.113
FBtr0345599	1.521	0.21	0.958	5.604	1.763	2.564
FBtr0070422	1.85	0.203	1.042	4.329	2.237	3.89
FBtr0342772	0.311	1.841	0	0.119	0	0.059
FBtr0070421	10.318	3.773	1	3.958	1	0.118
FBtr0333023	3.313	0.917	3.442	9.925	0.917	1.266
FBtr0075579	1.854	1.083	2.558	1.078	1.083	1.734
FBtr0072248	2.042	0.333	0.871	2.634	0.333	1.422
FBtr0345620	2.895	0.334	1.546	3.55	0.334	0.29
FBtr0072247	3.063	0.333	1.583	3.816	0.333	0.289
FBtr0072253	33.721	4.127	3.181	41.546	2.891	15.466
FBtr0343432	615.397	243.148	285.921	657.103	177.152	207.988
FBtr0073127	3.463	1.495	2.975	1.99	0.998	2.484
FBtr0073128	3.537	1.505	3.025	2.01	1.002	2.516
FBtr0079458	0.125	0	0.03	2.287	0.053	0.046
FBtr0079460	17.164	10	13.452	19.819	10.618	8.43
FBtr0079462	0.125	0	1.064	1.188	0.053	0.045
FBtr0079461	1.268	1	1.064	2.292	0.053	0.045
FBtr0079459	18.318	9	11.39	26.414	3.223	8.433
FBtr0081997	484.602	194.061	309.81	855.016	303.814	421.901
FBtr0081996	21.967	10.229	17.536	57.813	30.237	9.18
FBtr0336761	221.431	113.71	80.654	175.171	86.949	65.919
FBtr0336637	1.887	0.553	1.117	0.692	1.102	1.38
FBtr0300693	1.018	0.179	0.388	0.12	0.6	0
FBtr0336636	2.28	0.552	1.093	0.902	1.899	1.337
FBtr0071797	2.091	0.55	2.402	11.175	1.774	1.283
FBtr0336638	0.724	0.167	0	0.11	0.625	0
FBtr0087382	3146.399	1272.867	1456.036	2404.399	836.567	829.924
FBtr0339998	104.895	101.067	101.764	103.829	119.178	97.076
FBtr0301478	1022.93	419.794	465.499	1262.311	528.163	526.13
FBtr0089521	603.41	171.361	191.659	181.361	110.035	187.519
FBtr0306351	63.922	28.288	44.451	76.326	15.569	34.929
FBtr0306350	122.802	47.923	43.352	264.658	36.038	49.05
FBtr0301477	104.935	40.634	20.038	102.403	50.195	35.372
FBtr0300224	1.857	0.439	0.202	1.372	0.217	0.643
FBtr0114515	1.884	1.94	1.42	1.433	0.215	0.649
FBtr0087406	1	0	0	0	0	0
FBtr0072888	0	1	0	0	0	0
FBtr0085859	0	3	2	1	4	4
FBtr0334894	6667.617	2029.701	2540.918	6478.195	2035.552	1833.155
FBtr0084460	760.456	526.483	277.592	730.258	329.691	522.625
FBtr0304567	177.927	286.816	267.49	1164.879	355.758	202.22
FBtr0070907	5161.91	2243.384	2489.474	6763.424	2398.088	2370.686
FBtr0070906	47.68	12.616	19.511	30.537	13.912	12.309
FBtr0305911	532.851	133.883	193.731	160.072	88.103	98.615
FBtr0289953	261.231	139.012	110.392	368.548	106.088	79.126
FBtr0305910	202.918	48.106	55.876	268.381	55.81	53.259
FBtr0088312	13.974	2.723	3.327	13.531	3.707	0.66
FBtr0088313	8.68	6.291	9.53	7.116	6.477	2.4
FBtr0088311	12.64	13.041	8.377	8.492	5.939	4.977
FBtr0304592	36.706	8.945	13.766	13.862	7.876	3.963
FBtr0088882	2239	1164	1367	2593	952	1132
FBtr0079894	831.88	220.071	431.384	1129.228	338.383	386.958
FBtr0331635	144.022	180.765	103.121	66.503	91.065	127.266
FBtr0345615	204.765	92.514	105.137	225.44	104.282	115.057
FBtr0071338	7224.001	3616.76	3997	10864	4894	4950
FBtr0334508	6.891	2.304	3.771	8.363	0.601	0.565
FBtr0085746	4.109	2.696	1.229	5.941	0.607	0.569
FBtr0085085	1679.927	968.091	1085.423	1024.096	373.863	437.229
FBtr0085084	172.073	7.909	12.577	35.904	8.137	1.771
FBtr0079304	1.004	0	0.001	2.003	0.003	1
FBtr0079732	0	0	1	0	0	0
FBtr0071108	23.761	88.525	253.094	27.288	65.021	228.182
FBtr0340139	52.497	69.439	67.007	44.101	38.128	63.904
FBtr0071107	2424.429	996.664	1051.109	3193.771	1049.206	917.32
FBtr0340138	424.428	50.329	56.79	276.769	74.597	75.53
FBtr0309839	55.38	49.021	48.903	48.647	48.891	49.102
FBtr0309836	60.773	53.133	53.013	52.754	52.989	53.222
FBtr0309837	1569.499	87.215	74.034	1692.406	207.971	113.382
FBtr0073144	9713.95	4391.373	5231.416	10117.192	4455.253	4516.024
